neighborhood,divname,green_score,total_acreage
Central Oakland,Schenley,0.205,556.83
North Oakland,Schenley,0.205,556.83
South Oakland,Schenley,0.205,556.83
West Oakland,Schenley,0.205,556.83
Squirrel Hill North,Schenley,0.205,556.83
Squirrel Hill South,Schenley,0.205,556.83
Greenfield,Schenley,0.205,556.83
Hazelwood,Schenley,0.205,556.83
Glen Hazel,Schenley,0.205,556.83
Bloomfield,Schenley,0.205,556.83
Friendship,Schenley,0.205,556.83
Shadyside,Schenley,0.205,556.83
Point Breeze,Frick,0.62,847.53
Point Breeze North,Frick,0.62,847.53
Regent Square,Frick,0.62,847.53
Swisshelm Park,Frick,0.62,847.53
Highland Park,Highland,0.066,459.06
Morningside,Highland,0.066,459.06
Stanton Heights,Highland,0.066,459.06
East Liberty,Highland,0.066,459.06
Garfield,Highland,0.066,459.06
Larimer,Highland,0.066,459.06
Lincoln-Lemington-Belmar,Highland,0.066,459.06
East Hills,Highland,0.066,459.06
Homewood North,Highland,0.066,459.06
Homewood South,Highland,0.066,459.06
Homewood West,Highland,0.066,459.06
Perry North,Riverview,0.044,444.12
Perry South,Riverview,0.044,444.12
Brighton Heights,Riverview,0.044,444.12
Northview Heights,Riverview,0.044,444.12
Summer Hill,Riverview,0.044,444.12
Spring Hill-City View,Riverview,0.044,444.12
Marshall-Shadeland,Riverview,0.044,444.12
Troy Hill,Riverview,0.044,444.12
Spring Garden,Riverview,0.044,444.12
Fineview,Riverview,0.044,444.12
Central Northside,Riverview,0.044,444.12
Allegheny Center,Riverview,0.044,444.12
Allegheny West,Riverview,0.044,444.12
East Allegheny,Riverview,0.044,444.12
Manchester,Riverview,0.044,444.12
Chateau,Riverview,0.044,444.12
California-Kirkbride,Riverview,0.044,444.12
North Shore,Riverview,0.044,444.12
West End,Emerald,0.0,413.05
Sheraden,Emerald,0.0,413.05
Elliott,Emerald,0.0,413.05
Esplen,Emerald,0.0,413.05
Crafton Heights,Emerald,0.0,413.05
Westwood,Emerald,0.0,413.05
Oakwood,Emerald,0.0,413.05
Fairywood,Emerald,0.0,413.05
Chartiers,Emerald,0.0,413.05
Chartiers City,Emerald,0.0,413.05
East Carnegie,Emerald,0.0,413.05
Ridgemont,Emerald,0.0,413.05
Windgap,Emerald,0.0,413.05
Banksville,Emerald,0.0,413.05
Beechview,Emerald,0.0,413.05
Brookline,Emerald,0.0,413.05
Mount Washington,Emerald,0.0,413.05
Duquesne Heights,Emerald,0.0,413.05
Beltzhoover,McKinley,1.0,1114.11
Knoxville,McKinley,1.0,1114.11
Mount Oliver,McKinley,1.0,1114.11
Allentown,McKinley,1.0,1114.11
Arlington,McKinley,1.0,1114.11
Arlington Heights,McKinley,1.0,1114.11
Bon Air,McKinley,1.0,1114.11
Saint Clair,McKinley,1.0,1114.11
Carrick,McKinley,1.0,1114.11
Overbrook,McKinley,1.0,1114.11
Hays,McKinley,1.0,1114.11
Lincoln Place,McKinley,1.0,1114.11
New Homestead,McKinley,1.0,1114.11
South Side Slopes,McKinley,1.0,1114.11
South Side Flats,McKinley,1.0,1114.11
South Shore,McKinley,1.0,1114.11
